,分類,施設名,入所年齢,０歳,１歳,２歳,３歳,４歳,５歳,color,種別,所在地,電話番号,設置主体,利用定員,一時預かり,緯度,経度
0,公立保育所・認定こども園,鳥生保育所,生後90日,×,×,×,△,×,×,red,保育所,今治市北鳥生町3丁目1-15,0898-22-3749,今治市,120,,34.054302,133.007296
1,公立保育所・認定こども園,常盤保育所,生後90日,×,×,×,×,×,×,black,保育所,今治市南日吉町2丁目2-8,0898-31-5058,今治市,150,,34.057515,132.993141
2,公立保育所・認定こども園,城東保育所,生後90日,×,×,×,×,×,×,black,保育所,今治市美須賀町4丁目1-48,0898-22-3451,今治市,150,○,34.059432,133.011638
3,公立保育所・認定こども園,乃万保育所,生後90日,×,×,△,×,×,△,red,保育所,今治市延喜甲365-2,0898-22-6289,今治市,100,○,34.063498,132.957147
4,公立保育所・認定こども園,日高保育所,生後57日,×,×,×,×,×,×,black,保育所,今治市別名549-1,0898-23-1512,今治市,120,,34.046119,132.975335
5,公立保育所・認定こども園,富田保育所,生後57日,×,×,×,×,×,×,black,保育所,今治市上徳乙287-7,0898-48-2323,今治市,130,,34.032707,133.012564
6,公立保育所・認定こども園,桜井保育所,生後90日,×,×,×,×,△,×,red,保育所,今治市登畑甲40,0898-48-0555,今治市,100,,34.022279,133.021928
7,公立保育所・認定こども園,日の出保育所,生後6か月,×,×,×,×,△,△,red,保育所,今治市玉川町小鴨部甲230-2,0898-55-3032,今治市,45,,34.026563,132.964389
8,公立保育所・認定こども園,九和保育所,生後6か月,△,△,×,○,△,△,orange,保育所,今治市玉川町大野甲86-3,0898-55-3132,今治市,90,,34.021154,132.944133
9,公立保育所・認定こども園,樋口保育所,生後6か月,×,×,×,×,×,×,black,保育所,今治市波方町養老甲1024,0898-41-7241,今治市,90,,34.101247,132.947425
10,公立保育所・認定こども園,亀岡保育所,生後6か月,×,×,×,△,○,○,orange,保育所,今治市菊間町佐方490,0898-54-5022,今治市,60,,34.05471,132.874939
11,公立保育所・認定こども園,菊間保育所,生後6か月,×,×,×,×,△,△,red,保育所,今治市菊間町長坂1999,0898-54-2209,今治市,120,○,34.032671,132.845044
12,公立保育所・認定こども園,吉海認定こども園,生後6か月,×,×,×,×,△,×,red,幼保連携型認定こども園・公立,今治市吉海町八幡56,0897-84-2108,今治市,12/78,○,34.146934,133.045082
13,公立保育所・認定こども園,宮窪認定こども園,生後6か月,×,×,×,×,○,○,orange,幼保連携型認定こども園・公立,今治市宮窪町宮窪2901,0897-86-3412,今治市,10/80,,34.171124,133.075152
14,公立保育所・認定こども園,伯方認定こども園,生後6か月,×,×,△,×,○,○,orange,幼保連携型認定こども園・公立,今治市伯方町木浦甲1200-1,0897-72-0227,今治市,50/80,○,34.205914,133.112225
15,公立保育所・認定こども園,上浦認定こども園,生後6か月,×,×,×,○,△,△,orange,幼保連携型認定こども園・公立,今治市上浦町井口5931-1,0897-87-2385,今治市,8/52,○,34.263485,133.037943
16,公立保育所・認定こども園,大三島認定こども園,生後6か月,×,×,×,×,×,×,black,幼保連携型認定こども園・公立,今治市大三島町明日2493-1,0897-82-0164,今治市,8/52,,34.25139,132.997168
17,私立保育所,若葉保育園,生後90日,×,×,×,×,△,○,red,保育所,今治市東村1丁目15-36,0898-47-2080,社会福祉法人若葉保育園,90,○,34.052978,133.012693
18,私立保育所,志々満保育園,生後90日,×,×,×,×,×,×,black,保育所,今治市桜井6丁目2-1,0898-48-0254,社会福祉法人志々満保育園,90,○,34.018814,133.0419922
19,私立保育所,今治中央ばりっこ保育園,生後57日,×,×,×,×,×,×,black,保育所,今治市別宮町9丁目5-27,0898-52-7675 ,社会福祉法人今治福祉施設協会,160,○,34.0713606,132.9880778
20,私立保育所,白鳩保育園,生後90日,×,×,×,×,×,×,black,保育所,今治市山路881-89,0898-32-7364,社会福祉法人山路白鳩福祉会,70,○,34.058332,132.974992
21,私立保育所,今治虎岳保育園,生後6か月,×,×,△,△,×,×,red,保育所,今治市鐘場町1丁目2-25,0898-32-9800,社会福祉法人虎岳会,90,○,34.085401,132.990724
22,私立保育所,龍門保育園,生後57日,△,△,△,△,○,○,green,保育所,今治市朝倉上甲803-3,0898-56-2190,社会福祉法人龍門福祉会,45,,33.97732,133.006719
23,私立保育所,朝倉保育園,生後57日,×,×,△,×,×,×,red,保育所,今治市朝倉北甲356-2,0898-56-2006,社会福祉法人朝倉会,90,,33.995211,133.0212733
24,私立保育所,大井幼児園,生後57日,×,○,△,×,○,○,green,保育所,今治市大西町九王甲2118-3,0898-53-2140,社会福祉法人大井福祉会,120,,34.071636,132.9293962
25,私立保育所,小西保育園,生後57日,△,△,×,×,×,×,red,保育所,今治市大西町脇甲1726-29,0898-53-2141,社会福祉法人小西福祉会,90,,34.061817,132.913879
26,認定こども園,しまなみの杜認定こども園,生後6か月,×,×,×,×,×,×,black,幼保連携型認定こども園・私立,今治市しまなみの杜2-１,0898-31-1211,学校法人今治普門学園,150/120,○,34.071386,132.969429
27,認定こども園,空と海認定こども園,生後6か月,×,×,×,△,△,△,red,幼保連携型認定こども園・私立,今治市大西町宮脇甲523-1,0898-53-4331,学校法人今治普門学園,60/70,○,34.060266,132.9257852
28,認定こども園,幼保連携型認定こども園今治幼稚園,満1歳,×,×,×,×,△,×,red,幼保連携型認定こども園・私立,今治市別宮町2丁目4-13,0898-22-2011,学校法人今治幼稚園,60/30,○,34.067816,132.9948645
29,認定こども園,幼保連携型認定こども園晴心幼稚園,生後90日,×,△,△,△,△,△,orange,幼保連携型認定こども園・私立,今治市南高下町3丁目4-46,0898-22-4393,学校法人晴心学園,45/100,,34.049548,133.011186
30,認定こども園,はしはまこがく認定こども園,生後90日,×,×,×,×,×,×,black,幼保連携型認定こども園・私立,今治市地堀2丁目3-12,0898-41-9503,学校法人波止浜虎岳学園,60/130,○,34.104639,132.963722
31,認定こども園,認定こども園みどり幼稚園,生後90日,×,×,×,×,×,△,red,幼保連携型認定こども園・私立,今治市五十嵐甲60番地,0898-31-0035,学校法人みどり幼稚園,195/130,,34.03186,132.985969
32,地域型保育,小規模保育所たんぽぽ,満1歳,△,△,△,－,－,－,red,地域型保育事業所,今治市波方町養老甲764-1,0898-41-8622,学校法人たんぽぽ幼稚園,12,,34.107596,132.9433552
33,地域型保育,あおいそら保育園,生後60日,×,×,×,－,－,－,black,地域型保育事業所,今治市近見町1丁目3-8,0898-35-4766,株式会社宙,19,,34.087646,132.9870994
34,地域型保育,エンゼル保育園,生後90日,×,×,×,－,－,－,black,地域型保育事業所,今治市南宝来町1丁目4-11,0898-25-6062,今治市医師会,30,,34.061582,132.997043
35,地域型保育,おひさまえん,生後57日,×,×,×,－,－,－,black,地域型保育事業所,今治市北宝来町2丁目3-6,0898-23-0050,社会医療法人生きる会,20,,34.065739,132.994255
36,地域型保育,なでしこ保育所,生後90日,×,×,×,－,－,－,black,地域型保育事業所,今治市喜田村7丁目2-30,0898-47-6050,社会福祉法人恩賜財団済生会今治病院,30,,34.043456,133.0211925
